ナンバー,施設名,所在地,緯度,経度
329,佐藤内科小児科医院,燕市分水桜町2丁目4番21号,37.627792,138.838348
330,社団法人新潟県労働衛生医学協会附属燕検査センター,燕市大字東太田字杉名田6857,37.669083,138.914597
331,社団法人新潟県労働衛生医学協会附属吉田検査センター,燕市吉田東栄町36-20,37.679996,138.874756
332,小児科こでらクリニック,燕市佐渡242-1,37.665218,138.949753
333,清野医院,燕市地蔵堂本町三丁目4番6号,37.628281,138.842514
334,たかだ小児科医院,燕市吉田3505-1,37.696293,138.883972
335,丹野神経内科クリニック,燕市吉田2758-1,37.694321,138.885544
336,地域密着ユニット型介護福祉施設はな広場・しまかみ,燕市横田9948番地1,37.632126,138.887970
337,地域密着型特別養護老人ホームときわ燕,燕市上児木390番地,37.681957,138.964691
338,つばくろの里医務室,燕市大字横田13604,37.635906,138.884247
339,燕アイクリニック,燕市井土巻2丁目28,37.654633,138.928955
340,燕市役所燕庁舎,燕市白山町2-7-27燕市役所健康づくり課,37.666737,138.926193
341,燕市保健センター,燕市吉田大保町25-15,37.689289,138.882950
342,つばめ皮フ科,燕市吉田3453番1,37.694321,138.885544
343,つばめ福寿園医務室,燕市佐渡745-1,37.666515,138.953369
344,富樫医院,燕市秋葉町1-2-23,37.662148,138.922531
345,特別養護老人ホームさわたりの郷医務室,燕市佐渡741-1,37.660755,138.951431
346,特別養護老人ホーム白ふじの里医務室,燕市大曲2472-1,37.646637,138.915604
347,特別養護老人ホーム「太陽の園」医務・看護室,燕市法花堂740,37.673161,138.882095
348,特別養護老人ホーム「分水の里」医務室,燕市新堀2479-2,37.641087,138.838531
349,特別養護老人ホーム「分水のいちごの実」医務室,燕市五千石字屋敷浦3223-3,37.612537,138.831665
350,特別養護老人ホーム「吉田愛宕の園」医務室・看護コーナー,燕市粟生津字山王855,37.646584,138.866852
351,特別養護老人ホーム燕愛宕の園医務室,燕市東太田1066番地5,37.677910,138.941132
352,特別養護老人ホーム遊生の町医務室,燕市小関1389番地4,37.663532,138.903183
353,富永草野医院,燕市富永216-1,37.695900,138.889420
354,中村医院,燕市吉田堤町7-3,37.689163,138.879501
355,にいじま耳鼻科医院,燕市吉田本所74番1,37.696999,138.879959
356,のがみ眼科,燕市吉田東町3473-2,37.695625,138.881454
357,パナソニック新潟健康管理室,燕市大川津字島畑1115,37.607101,138.841980
358,プラザ21眼科クリニック,燕市井土巻3丁目95,37.650356,138.934052
359,古川医院分院,燕市宮町1番10号,37.664734,138.926346
360,本間医院,燕市秋葉町4-13-53,37.660610,138.916519
361,本間医院,燕市地蔵堂本町2-5-1,37.626514,138.842270
362,丸山生春医院,燕市白山町1-3-20,37.663837,138.921616
363,水澤こどもクリニック,燕市東太田6864-1,37.669083,138.914597
364,水澤内科医院,燕市仲町6番13号,37.662518,138.924301
365,宮島循環器内科,燕市井土巻4丁目279,37.654755,138.935989
366,湧井医院,燕市吉田堤町3-16,37.688393,138.877991
367,たけうち内科クリニック,燕市南6丁目11番18号,37.656200,138.931396
368,古川医院,燕市東太田7018番地1,37.669083,138.914597
369,たかだ産婦人科医院,田上町吉田2750-1,37.692013,139.070618
370,ささき耳鼻科クリニック,田上町井土巻2丁目347,37.698849,139.057968
371,特別養護老人ホームあじさいの里医務室,田上町大字田上丙2987番地1,37.720390,139.077393
372,須田医院,田上町大字羽生田丙151-14,37.692932,139.059036
373,田上診療所,田上町大字田上丙1225番地,37.713722,139.072052
374,田上町総合保健福祉センター,弥彦村大字原ヶ崎新田3071番地,37.691059,138.855164
375,星野内科医院,弥彦村大字川船河甲1330-6,37.680271,138.868408
