ナンバー,施設名,所在地,緯度,経度
230,瀬髙歯科医院,田上町大字田上字横山丙2494-6,37.706715,139.068985
231,ひまわり歯科医院,田上町大字田上丁2402-49,37.70314,139.066727
232,大橋歯科医院,弥彦村矢作柿ﾉ浦7435,37.692013,138.856781
233,田村歯科医院,弥彦村弥彦2566-3,37.70446,138.829651
234,あおば歯科クリニック,長岡市希望が丘1-7-1,37.442448,138.810486
235,青葉台歯科医院,長岡市青葉台1-甲120-8,37.446327,138.749207
236,あかしば矯正歯科クリニック,長岡市大手通1-4-1ﾎﾞﾜｰﾙﾋﾞﾙ3階,37.446819,138.851379
237,あけぼの歯科,長岡市曙1丁目3-21,37.426079,138.84874
238,阿部歯科医院,長岡市本町1-3-1,37.448162,138.845581
239,阿部歯科医院,長岡市江陽1-2-28,37.474689,138.838013
240,いだ歯科医院,長岡市古正寺3-20,37.457733,138.823471
241,今井歯科医院,長岡市水道町4-2-25,37.457802,138.84613
242,入江歯科医院,長岡市本町2-4-24,37.450832,138.846817
243,上野歯科医院,長岡市高見1-7-9,37.499954,138.867569
244,大竹矯正歯科医院,長岡市台町2-1-26,37.445248,138.855759
245,大平歯科医院,長岡市船江町3-11,37.448875,138.844803
246,大塚歯科医院,長岡市坂之上町3-3-10,37.451275,138.850952
247,大野歯科医院,長岡市藤橋1-284-1,37.428688,138.786133
248,要町歯科,長岡市要町2-8-6,37.428547,138.840805
249,萱中歯科医院,長岡市関東町1-9,37.451599,138.851852
250,かさい歯科医院,長岡市三和3丁目8-3,37.433468,138.837418
251,かりや歯科医院,長岡市東神田1-3-23,37.455872,138.862198
252,神田歯科,長岡市神田町1-1-7,37.453602,138.852646
253,神成歯科医院,長岡市中島6-1-4,37.454414,138.850601
254,北島歯科医院,長岡市宮内2-8-6,37.419991,138.840668
255,鞍立歯科医院,長岡市本町2-3-2,37.450687,138.847321
256,小海歯科医院,長岡市曲新町542-1,37.421329,138.846405
257,小林歯科クリニック,長岡市今朝白2-8-5,37.448692,138.85849
258,駒形歯科クリニック,長岡市川崎6-1349-3,37.454578,138.874924
259,斉藤歯科医院,長岡市長町1-3-9,37.454147,138.854034
260,さいとう歯科,長岡市新組町字筒場2196-3,37.49934,138.874069
261,さくら歯科,長岡市浦瀬町478-2,37.467464,138.903595
262,沢矯正歯科医院,長岡市城内町2-6-13,37.448887,138.852859
263,しぶや歯科医院,長岡市川崎町581-4,37.457932,138.867767
264,しみず歯科医院,長岡市東蔵王2-6-12,37.47176,138.855453
265,すずき歯科医院,長岡市巻島2-5-1,37.481152,138.835632
266,関歯科医院,長岡市山田1-8-10,37.445621,138.841064
267,そりまち歯科医院,長岡市宝1-2-21,37.480957,138.857178
268,たかはし歯科医院,長岡市蓮潟1-17-12,37.46521,138.820465
269,高橋小児歯科医院,長岡市大手通1-5-2ﾀｶﾉﾋﾞﾙ4階,37.447548,138.851273
270,田村歯科医院,長岡市関原町1-1060-4,37.452606,138.776794
271,田村歯科クリニック,長岡市泉町1-2-1,37.463856,138.853714
272,中川歯科医院,長岡市城内町2-5-2,37.449085,138.852097
273,なかじま歯科クリニック,長岡市西宮内2-33,37.428108,138.836838
274,中野歯科医院,長岡市大山2-3-10,37.441154,138.817581
275,永井歯科医院,長岡市新町1-1-8,37.459732,138.855713
276,一般社団法人長岡歯科医師会長岡休日急患歯科診療所,長岡市幸町2-1-1,37.435719,138.839935
277,ながおか歯科,長岡市柏町1-4-22,37.443569,138.847305
278,長束歯科医院,長岡市大島本町4-106-1,37.44413,138.819931
279,のざき歯科医院,長岡市下山5-88-5,37.436352,138.816177
280,ひまわり歯科,長岡市川崎2-2478-1,37.451672,138.867157
281,ブレス・デザインデンタルオフィス,長岡市殿町2丁目3-12,37.445293,138.850082
282,堀歯科医院,長岡市神田町2-1-19,37.456032,138.853714
283,ほりきり歯科医院,長岡市古正寺3-254,37.459286,138.819244
284,長岡デンタルオフィス,長岡市千秋2丁目278番地,37.460854,138.827026
285,松井歯科医院,長岡市中島7-3-36,37.459576,138.850281
286,まつだ歯科医院,長岡市十日町字西野々1009-2,37.384647,138.838257
287,医療法人厚徳会まつむら第二歯科,長岡市東栄1-2-33,37.458549,138.863525
288,医療法人徳真会松村歯科長岡診療所,長岡市古正寺町29-3,37.452686,138.819
289,丸山歯科クリニック,長岡市関原町3-乙14,37.455475,138.7686
290,三井田歯科医院,長岡市花園2-8-15,37.435005,138.860016
291,みどり町歯科医院,長岡市緑町1-86-33,37.451736,138.821426
292,山下歯科医院,長岡市中沢4-342,37.440945,138.873505
293,やまだ歯科医院,長岡市上除町甲3591‐52,37.450233,138.782059
294,山田歯科医院,長岡市表町1-4-1,37.447784,138.847717
295,山田歯科クリニック,長岡市土合5-8-23,37.437809,138.855774
296,やまもと歯科医院,長岡市新保3-1-48,37.464909,138.866623
297,ゆきの歯科医院,長岡市高畑町76-1,37.424023,138.866791
298,横山歯科医院,長岡市摂田屋1-2-63,37.411152,138.844986
299,吉川歯科医院,長岡市川崎町字山崎765-1,37.461678,138.865875
300,吉原歯科クリニック,長岡市南七日町30-8,37.443962,138.800034
301,米山歯科医院,長岡市大島本町5-114-3,37.445103,138.818726
302,ワキヤ歯科医院,長岡市城内町3丁目字観光院町甲893-36丸山ﾋﾞﾙ3階,37.450153,138.853699
303,中之島歯科診療所,長岡市中之島225-1,37.544094,138.879868
304,長岡市山古志歯科診療所,長岡市山古志竹沢甲2835,37.324604,138.882782
305,長岡市小国歯科診療所,長岡市小国町七日町2607-6,37.317764,138.726242
306,かわうち歯科医院,長岡市脇野町2136,37.498974,138.783661
307,和田歯科医院,長岡市三島新保字杉ﾉ木3082,37.491768,138.801041
308,すずらん歯科医院,長岡市来迎寺白山2394,37.390301,138.779739
309,永井歯科医院,長岡市来迎寺3862,37.394798,138.784164
310,さかいデンタルクリニック,長岡市金町2-3-27,37.481167,138.994522
311,小坂井歯科医院,長岡市与板町江西3-1-12,37.535236,138.815811
312,丸山歯科医院,長岡市与板町与板甲1,37.541046,138.810989
313,おぐろ歯科医院,長岡市寺泊吉364-8,37.634789,138.783966
314,桐原歯科医院,長岡市寺泊五分一2862-1,37.600311,138.790466
315,桑原歯科医院,長岡市寺泊白岩7220-3,37.657505,138.774933
316,コロニーにいがた白岩の里歯科診療所,長岡市寺泊藪田6789-4,37.658684,138.78595
317,歯科斎藤医院,長岡市寺泊北曽根大溜2167-1,37.621857,138.823883
318,小見歯科医院,長岡市東川口1979-63,37.273361,138.856583
319,大原歯科医院,見附市坂井町1702,37.567551,138.89151
320,金子歯科医院,見附市学校町2-1-58,37.532757,138.92009
321,金安歯科医院,見附市今町5丁目40-7,37.5536,138.891083
322,小坂井歯科クリニック,見附市昭和町2-3-3,37.53141,138.914597
323,坂田歯科医院,見附市新町2-1-44,37.527012,138.920074
324,さくら歯科医院,見附市本町1-4-7,37.52829,138.922928
325,末広歯科,見附市本町4丁目2-37,37.529964,138.925705
326,関崎歯科医院,見附市今町5丁目17番18号,37.550522,138.890381
327,中央歯科水澤,見附市学校町2-6-36,37.532703,138.91597
328,中島歯科医院,見附市元町2丁目1番18号,37.534286,138.928833
329,西澤歯科クリニック,見附市柳橋町266-15,37.542301,138.899536
330,はやかわ歯科医院,見附市今町4丁目10-21,37.546154,138.891861
331,ひまわり歯科,見附市新町3-11-24,37.523838,138.917709
332,村上歯科医院,見附市南本町2-16-7,37.522095,138.9245
333,やまざき歯科医院,見附市本町2-2-7 山崎ﾋﾞﾙ2F,37.527096,138.925232
334,山田歯科医院,見附市上新田町429-25,37.542858,138.886093
335,山本歯科医院,見附市新町1-9-32,37.527016,138.921844
336,堀井スマイル歯科,長岡市下柳2丁目5-38,37.472191,138.834427
337,たぐち歯科クリニック,長岡市美沢3丁目637,37.443146,138.8694
338,佐藤歯科医院,小千谷市平成1-4-7,37.309181,138.794205
339,安部歯科医院,小千谷市片貝町6513,37.368992,138.775879
340,城内歯科医院,小千谷市城内1-14-2,37.312199,138.793793
341,野沢歯科医院,小千谷市栄町9-7,37.29937,138.799744
342,星野歯科医院,小千谷市千谷川4-741-2,37.319427,138.798233
343,医療法人社団阿部歯科医院,小千谷市城内2-9-11,37.31509,138.796188
344,わかば歯科,小千谷市若葉2-101,37.305805,138.782166
345,平和歯科医院,小千谷市桜町4989-2,37.311855,138.785446
346,なおえ歯科クリニック,小千谷市三仏生3489-2 べｲｼｱ小千谷店,37.331944,138.811203
347,鈴木歯科医院,小千谷市片貝町5248,37.36655,138.776855
348,あおやぎ歯科クリニック,長岡市今朝白1-4-1,37.445751,138.860153
349,えぐち歯科クリニック,長岡市中島5-1-19,37.453114,138.848602
350,さつき歯科医院,長岡市川崎6丁目7839-1,37.455357,138.871155
351,とちお歯科クリニック,長岡市新栄町2丁目3-35,37.487656,138.997162
352,たなか歯科,長岡市錦1丁目5番5号,37.42979,138.856277
353,中央歯科,長岡市新保6丁目250,37.468151,138.868912
354,木村歯科医院,小千谷市城内1-4-18,37.313004,138.798111
355,速水歯科医院,見附市昭和町2-9-7,37.529785,138.910172
356,近藤歯科医院,長岡市学校町3-11-2,37.444199,138.858368
357,生協ながおかデンタルクリニック,長岡市沢田1-2-1,37.425663,138.84552
358,しんざわ矯正歯科クリニック,長岡市古正寺3丁目289番地,37.458462,138.817825
359,ヒッポ歯科クリニック,長岡市七日町字川原374 ｱｸﾛｽﾌﾟﾗｻﾞ長岡七日町内,37.444237,138.805618
360,越後さんとう歯科診療所,長岡市越路中沢274番地1,37.414043,138.797607
361,佐藤歯科,長岡市東坂之上町1-4-3ｽｶｲﾊｲﾂ102,37.446831,138.850479
362,長岡おとな・こども歯科クリニック,長岡市表町2丁目2-21 ながおか町口御門 1階,37.448784,138.847839
363,古正寺ファミリー歯科,長岡市古正寺一丁目3058番地2,37.455387,138.817352
364,関歯科医院,長岡市宮内1丁目1番4号,37.417465,138.84201
365,北ながおか歯科診療所,長岡市宝2丁目2-16,37.482662,138.857788
366,つるがや歯科クリニック,見附市本所1丁目9番41号,37.538353,138.909592
367,医療法人みずほみずほ歯科口腔外科,長岡市中之島1909-15,37.537216,138.874512
368,河内歯科クリニック,長岡市日赤町1-4-16,37.45047,138.841614
369,加藤歯科医院,長岡市来迎寺前田3931,37.390301,138.779739
370,佐藤歯科医院,長岡市長町1丁目1番地7,37.451977,138.853119
371,エルク歯科,見附市葛巻町1665-1見附ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰMISC-K棟104号,37.530216,138.908844
372,キューアンドエー歯科医院,長岡市旭岡2丁目2番地,37.427273,138.85881
373,石原歯科医院,長岡市滝の下町8-49,37.472542,138.997437
374,大島通り歯科,長岡市大島本町5丁目118-18,37.446377,138.818069
375,長岡I’s歯科,長岡市城内町一丁目611番地1 CoCoLo長岡ﾒﾃﾞｨｶﾙﾍﾙｼｰﾓｰﾙD,37.44659,138.853516
376,小坂井歯科クリニック,長岡市豊田町11-40,37.430984,138.853287
377,花園歯科,長岡市花園3-9-27,37.435261,138.863235
378,石上歯科医院,魚沼市堀之内4011-8,37.240593,138.928116
379,黒岩歯科医院,魚沼市佐梨645-8,37.227642,138.968063
380,医療法人社団星歯科医院,魚沼市井口新田312-2,37.23307,138.96228
381,高木歯科クリニック,魚沼市稲荷町1-12,37.232899,138.958374
382,おがわ歯科クリニック,魚沼市小出島321-1,37.231152,138.958511
383,かみむら歯科医院,魚沼市井口新田157-1,37.23111,138.972977
384,さとう歯科医院,魚沼市井口新田948-6,37.229294,138.969055
